Species	Genus	Family	Order	Class	Phylum
Chroococcus yellowstonesis	Acidimicrobium				Chloroflexi
Synchococcus elongatus	Acidithiobacillus				Proteobacteria
Thermostichus amphigranulatus	Aerothermobacter				Deinococcus-Thermus
	Anaerobranca				Aquificae
	Anoxybacillus				Bacteroidetes
	Aquifex				Firmicutes
	Ardenticatena				Dictyoglomi
	Azoarcus				Hydrogenedentes
	Bacillus				Atribacteria
	Brevibacillus				Aminicenantes
	Caldalkalibacillus				Microgenomates
	Caldicellulosiruptor				Calescamantes
	Caldimicrobium				Omnitrophica
	Caldimonas				Chlamydiae
	Caloramator				Planctomycetes
	Carboxydibrachium				Thermotogae
	Carboxydothermus				Thermodesulfobacteria
	Clostridium				
	Deinococcus				
	Desulfacinum				
	Desulfotomaculum				
	Desulfovibrio				
	Dictyoglomus				
	Enterobacter				
	Fervidobacterium				
	Geobacillus				
	Geothermobacterium				
	Hydrogenobacter				
	Meiothermus				
	Nitrospira				
	Paenibacillus				
	Pseudomonas				
	Rhodothermus				
	Sulfobacillus				
	Thermoanaerobacter				
	Thermodesulfobacterium				
	Thermotoga				
	Thermus				
	Oscillatoria				
	Phormidium				
	Mastigocladus				
	Lyngbya				
	Synechococcus				
	Calothrix				
	Cyanidium				
	Galdieria				
